Andres;Lopez;7353860265;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Portatil;8516987278;Gateway;Cualquier cosa;;SI;NO;Reparacion;103718;6;3448671698;Andres14@yopmail.com
Andres;Perez;1014368823;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Pc Mesa;2222421057;Asus;Cualquier cosa;;NO;SI;Diagnostico;109980;9;3255801031;Andres16@yopmail.com
Sergio;Rodriguez;3457018333;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Camaras;7409083901;Apple;Cualquier cosa;;NO;NO;Mantenimiento Preventivo;136163;6;3592458281;Sergio88@yopmail.com
Luisa;Perez;6377838555;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Servidores;4371194063;Gateway;Cualquier cosa;;SI;NO;Configuracion;128097;1;3498131409;Luisa49@yopmail.com
Mateo;Lopez;9191906702;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Pc Mesa;3536706937;Apple;Cualquier cosa;;NO;NO;Configuracion;146799;8;3525787705;Mateo14@yopmail.com
Lina;Rodriguez;4968917098;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Camaras;3034713332;Apple;Cualquier cosa;;NO;SI;Mantenimiento Preventivo;70450;3;3066497871;Lina90@yopmail.com
Andres;Gomez;7550463470;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Pc Mesa;4276968156;Dell;Cualquier cosa;;SI;SI;Reparacion;71785;7;3514044400;Andres51@yopmail.com
Lina;Hernandez;7310082628;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Pc Mesa;7510614543;Gateway;Cualquier cosa;;SI;NO;Mantenimiento Preventivo;120010;3;3319827181;Lina63@yopmail.com
Daniel;Lopez;1222198321;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Camaras;6767840031;Asus;Cualquier cosa;;NO;NO;Reparacion;76298;8;3093347937;Daniel68@yopmail.com
Daniel;Rodriguez;4982661210;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Camaras;460786552;Asus;Cualquier cosa;;SI;SI;Diagnostico;115160;6;3090466905;Daniel24@yopmail.com
Mateo;Hernandez;274560499;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Servidores;8230356035;Dell;Cualquier cosa;;SI;NO;Instalacion;110347;2;3488750094;Mateo15@yopmail.com
Felipe;Gomez;4063524320;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Camaras;8809140835;Asus;Cualquier cosa;;SI;SI;Reparacion;65413;10;3062226011;Felipe54@yopmail.com
Sergio;Hernandez;3912728002;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Pc Mesa;1355406231;Gateway;Cualquier cosa;;SI;SI;Configuracion;91670;5;3451285748;Sergio97@yopmail.com
Sergio;Rodriguez;6663592871;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Camaras;6255843159;Gateway;Cualquier cosa;;NO;SI;Configuracion;128038;6;3223700041;Sergio73@yopmail.com
Sergio;Garcia;9659619379;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Servidores;7905333341;Apple;Cualquier cosa;;NO;NO;Instalacion;99725;2;3063462091;Sergio32@yopmail.com
Andres;Hernandez;9140138265;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Servidores;7430451300;Lenovo;Cualquier cosa;;SI;SI;Mantenimiento Preventivo;66293;2;3440234974;Andres87@yopmail.com
Mateo;Gomez;8560128384;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Portatil;249067400;Asus;Cualquier cosa;;SI;SI;Diagnostico;144149;10;3427449470;Mateo21@yopmail.com
Maribel;Gomez;8528582529;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Camaras;3670978885;Apple;Cualquier cosa;;SI;NO;Reparacion;114884;10;3022370437;Maribel18@yopmail.com
Lina;Rodriguez;9713967289;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Pc Mesa;860024429;Acer;Cualquier cosa;;NO;NO;Instalacion;144799;6;3355623837;Lina25@yopmail.com
Andres;Perez;5762932199;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Pc Mesa;4036146532;Gateway;Cualquier cosa;;NO;SI;Mantenimiento Preventivo;89887;7;3579375192;Andres5@yopmail.com
Lina;Hernandez;4065606323;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Portatil;7619343672;Asus;Cualquier cosa;;SI;SI;Configuracion;113964;4;3585441507;Lina62@yopmail.com
Daniel;Hernandez;5930094295;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Pc Mesa;6788794500;Dell;Cualquier cosa;;NO;NO;Instalacion;143405;6;3270789997;Daniel39@yopmail.com
Felipe;Perez;2776130484;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Servidores;8152283677;Dell;Cualquier cosa;;NO;SI;Reparacion;127644;6;3279662672;Felipe55@yopmail.com
Sergio;Hernandez;4345554952;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Camaras;8923349747;Lenovo;Cualquier cosa;;NO;SI;Mantenimiento Preventivo;83457;4;3314174575;Sergio34@yopmail.com
Felipe;Gomez;1915928258;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Camaras;256701046;Acer;Cualquier cosa;;NO;SI;Reparacion;127839;6;3555820002;Felipe99@yopmail.com
Andres;Gomez;8747037307;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Portatil;7184663346;Dell;Cualquier cosa;;SI;SI;Mantenimiento Preventivo;136880;7;3421476698;Andres94@yopmail.com
Maribel;Lopez;8052734944;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Camaras;7840401201;Apple;Cualquier cosa;;NO;NO;Mantenimiento Preventivo;128242;9;3087144902;Maribel82@yopmail.com
Andres;Lopez;6492468099;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Pc Mesa;9781965231;Gateway;Cualquier cosa;;SI;NO;Mantenimiento Preventivo;86724;10;3563981099;Andres24@yopmail.com
Lina;Rodriguez;3648601987;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Servidores;6202641558;Gateway;Cualquier cosa;;NO;SI;Mantenimiento Preventivo;128751;7;3135861245;Lina5@yopmail.com
Laura;Perez;1973841691;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Servidores;4245962691;Gateway;Cualquier cosa;;SI;NO;Configuracion;93403;8;3580909138;Laura69@yopmail.com
Lina;Gomez;8885476104;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Pc Mesa;8361732332;Lenovo;Cualquier cosa;;NO;NO;Reparacion;82391;3;3379341356;Lina80@yopmail.com
Laura;Lopez;8845543930;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Servidores;5508723300;Lenovo;Cualquier cosa;;NO;NO;Diagnostico;132771;4;3024686014;Laura25@yopmail.com
Lina;Perez;6118700659;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Camaras;1842737137;Apple;Cualquier cosa;;SI;SI;Diagnostico;111399;10;3421064097;Lina68@yopmail.com
Andres;Garcia;5526578510;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Portatil;2505197949;Gateway;Cualquier cosa;;SI;SI;Reparacion;137017;8;3376617292;Andres88@yopmail.com
Andres;Gomez;1676651940;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Camaras;3695551341;Apple;Cualquier cosa;;SI;NO;Instalacion;136105;10;3271203964;Andres67@yopmail.com
Sergio;Lopez;8617018951;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Portatil;4334965433;Gateway;Cualquier cosa;;SI;SI;Reparacion;63247;9;3335206307;Sergio96@yopmail.com
Daniel;Hernandez;3946495464;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Camaras;5711449611;Dell;Cualquier cosa;;SI;SI;Instalacion;87464;10;3410960824;Daniel75@yopmail.com
Andres;Perez;7537825390;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Servidores;43581583;Dell;Cualquier cosa;;SI;SI;Diagnostico;120020;5;3344450905;Andres13@yopmail.com
Lina;Hernandez;2583673951;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Pc Mesa;6013048392;Asus;Cualquier cosa;;NO;NO;Mantenimiento Preventivo;97215;7;3489995277;Lina74@yopmail.com
Mateo;Garcia;385181337;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Camaras;6966296796;Acer;Cualquier cosa;;SI;NO;Diagnostico;81042;5;3195434540;Mateo62@yopmail.com
Daniel;Rodriguez;21193556;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Servidores;6764041485;Gateway;Cualquier cosa;;NO;NO;Configuracion;73285;7;3051799337;Daniel7@yopmail.com
Andres;Rodriguez;9973123178;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Pc Mesa;3981136201;Gateway;Cualquier cosa;;SI;NO;Reparacion;110271;1;3426783612;Andres37@yopmail.com
Laura;Lopez;5407753271;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Portatil;5243881462;Dell;Cualquier cosa;;NO;NO;Reparacion;101693;8;3532958198;Laura27@yopmail.com
Felipe;Gomez;9595359531;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Camaras;1773960968;Asus;Cualquier cosa;;SI;NO;Configuracion;105794;9;3459535194;Felipe75@yopmail.com
Laura;Rodriguez;8003097166;Calle 25 # 76-40;2020-05-01 14:30:22;2020-05-03 16:43:22;Pc Mesa;1964036329;Acer;Cualquier cosa;;NO;NO;Diagnostico;139748;9;3068986334;Laura60@yopmail.com
